term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,experiment,model,n,r2
condition_factorTreated,38.40740178143983,23.037467324990025,1.6671711885523623,0.10021922349964944,-7.588385782411748,84.40318934529141,66,turnout,Experiment 2,M1,69,0.0674438218886253
condition_factorAdjacent,33.19050670299451,15.131205184607248,2.1935137550549326,0.03179789584842854,2.9800808155409335,63.40093259044809,66,turnout,Experiment 2,M1,69,0.0674438218886253
condition_factorTreated,9.029496124238744,13.372053162793787,0.6752512882137118,0.5019870464573486,-17.692419847714785,35.75141209619227,63,turnout,Experiment 2,M2,69,0.6947306920948547
condition_factorAdjacent,8.012017325135036,11.275629901511858,0.7105605092679362,0.4799788866424579,-14.520531049515261,30.54456569978533,63,turnout,Experiment 2,M2,69,0.6947306920948547
condition_factorTreated,84.69684208483011,47.140929451444954,1.7966731473138997,0.07474578861501305,-8.579540855005291,177.9732250246655,128,margin,Experiment 3,M1,131,0.042526307853997136
condition_factorAdjacent,72.07384176675937,39.56813351230163,1.8215122971204039,0.07086409134831172,-6.2184705965228915,150.36615413004165,128,margin,Experiment 3,M1,131,0.042526307853997136
condition_factorTreated,45.30423927633843,34.951833044887934,1.2961906523802373,0.19727894703685836,-23.864410805178885,114.47288935785573,126,margin,Experiment 3,M2,131,0.6516330841299744
condition_factorAdjacent,34.384871588478724,32.7790530210217,1.0489891689801771,0.2961910147276128,-30.48391070121486,99.25365387817232,126,margin,Experiment 3,M2,131,0.6516330841299744
condition_factorTreated,-11.278552645158014,104.82529392963473,-0.10759380892104993,0.9144863735636382,-218.69330606940784,196.1362007790918,128,turnout,Experiment 3,M1,131,0.003257913082390429
condition_factorAdjacent,35.97800287303613,96.36362285249798,0.37335668593642435,0.7095006111064226,-154.69388864996742,226.64989439603968,128,turnout,Experiment 3,M1,131,0.003257913082390429
condition_factorTreated,-64.8704177709568,56.282927444614565,-1.152577179550456,0.2512659663517884,-176.25267657781976,46.511841035906144,126,turnout,Experiment 3,M2,131,0.7362716477961149
condition_factorAdjacent,-16.076682398780555,50.34651514726685,-0.31932065907154067,0.7500121695114683,-115.71095578789681,83.55759099033568,126,turnout,Experiment 3,M2,131,0.7362716477961149
condition_factorTreated,5.859393765709248,26.72146197140214,0.21927669122221277,0.8269602167389092,-47.27003151290263,58.988819044321126,85,margin,Experiment 4,M1,88,0.0011871689164688615
condition_factorAdjacent,-1.1698013531877114,22.99420201277368,-0.05087375298076734,0.9595454824465892,-46.888435273233746,44.54883256685833,85,margin,Experiment 4,M1,88,0.0011871689164688615
condition_factorTreated,-9.334964714016861,19.547744607318872,-0.4775468935951699,0.63429136241162,-48.243777077179566,29.57384764914584,79,margin,Experiment 4,M2,88,0.6272248739337478
condition_factorAdjacent,-6.031498933574489,12.054228171741283,-0.5003637601380507,0.6182100365697956,-30.02483993217886,17.96184206502988,79,margin,Experiment 4,M2,88,0.6272248739337478
condition_factorTreated,-47.221741847843035,64.91378829539302,-0.7274531819489327,0.4689473803543137,-176.28774386834345,81.8442601726574,85,turnout,Experiment 4,M1,88,0.009073829863567417
condition_factorAdjacent,-21.082325930810942,57.356635851411184,-0.36756559407401573,0.7141108097484847,-135.12268427502923,92.95803241340735,85,turnout,Experiment 4,M1,88,0.009073829863567417
condition_factorTreated,7.222524128585534,28.410658587959354,0.25421882094794146,0.7999870412253329,-49.32747723059456,63.77252548776563,79,turnout,Experiment 4,M2,88,0.8774663861992492
condition_factorAdjacent,14.528023991617346,22.331098173348707,0.650573647513492,0.5172094141774517,-29.92091506219422,58.97696304542891,79,turnout,Experiment 4,M2,88,0.8774663861992492
